word	SVM_direction	SVM_coef	Dominant_topic	Country_weight
according	Neutral	0.042	T6:detention_conditions	0.0211
accused	Neutral	-0.042	T2:UK_statutory	0.0169
act	No_Violation	-0.160	T8:hearing_scheduling	0.0089
action	Violation	0.051	T3:Turkey_security	0.0180
administrative	Violation	0.177	T4:Turkey_admin	0.0571
also	Neutral	0.000	T0:jury/evidence	0.0209
ankara	Violation	0.091	T4:Turkey_admin	0.0241
annulment	Neutral	0.049	T4:Turkey_admin	0.0192
appendix	Violation	0.126	T7:pretrial_detention	0.0107
april	Neutral	-0.002	T1:land_expropriation	0.0250
army	Violation	0.157	T8:hearing_scheduling	0.0051
arrested	Violation	0.094	T7:pretrial_detention	0.0238
article	Neutral	0.012	T2:UK_statutory	0.0269
assize	Violation	0.147	T2:UK_statutory	0.0409
authority	Violation	0.128	T5:Russia_pension	0.0104
awarded	Violation	0.071	T3:Turkey_security	0.0217
born	Violation	0.144	T4:Turkey_admin	0.0306
brought	Violation	0.134	T3:Turkey_security	0.0324
bursa	Violation	0.078	T3:Turkey_security	0.0180
carried	No_Violation	-0.143	T6:detention_conditions	0.0103
cassation	Violation	0.210	T3:Turkey_security	0.0584
charge	Violation	0.153	T8:hearing_scheduling	0.0096
charging	Violation	0.122	T2:UK_statutory	0.0152
civil	Violation	0.194	T3:Turkey_security	0.0433
company	No_Violation	-0.166	T1:land_expropriation	0.0058
compensation	Violation	0.240	T3:Turkey_security	0.0367
concerning	No_Violation	-0.157	T6:detention_conditions	0.0133
criminal	Violation	0.114	T2:UK_statutory	0.0331
custody	Violation	0.109	T2:UK_statutory	0.0218
date	Violation	0.109	T7:pretrial_detention	0.0233
dated	Violation	0.128	T8:hearing_scheduling	0.0189
december	Violation	0.056	T1:land_expropriation	0.0283
decided	Neutral	0.008	T0:jury/evidence	0.0206
decision	Neutral	-0.041	T4:Turkey_admin	0.0338
delay	Violation	0.191	T1:land_expropriation	0.0022
detention	Violation	0.226	T7:pretrial_detention	0.0222
directorate	Violation	0.141	T3:Turkey_security	0.0267
discovered	No_Violation	-0.179	T6:detention_conditions	0.0013
dismissed	Violation	0.107	T4:Turkey_admin	0.0240
district	Violation	0.123	T1:land_expropriation	0.0033
diyarbakır	No_Violation	-0.051	T2:UK_statutory	0.0351
document	No_Violation	-0.075	T4:Turkey_admin	0.0194
entered	No_Violation	-0.160	T6:detention_conditions	0.0066
establishment	No_Violation	-0.162	T6:detention_conditions	0.0003
execution	Neutral	0.017	T3:Turkey_security	0.0240
expert	No_Violation	-0.073	T3:Turkey_security	0.0237
expropriation	Violation	0.075	T3:Turkey_security	0.0169
factual	No_Violation	-0.146	T0:jury/evidence	0.0037
february	Violation	0.188	T1:land_expropriation	0.0260
filed	Neutral	0.046	T2:UK_statutory	0.0258
first	Violation	0.101	T0:jury/evidence	0.0215
general	Violation	0.053	T3:Turkey_security	0.0203
government	No_Violation	-0.237	T6:detention_conditions	0.0068
hearing	Violation	0.133	T1:land_expropriation	0.0190
held	Neutral	0.008	T5:Russia_pension	0.0233
house	No_Violation	-0.212	T0:jury/evidence	0.0048
illegal	Violation	0.121	T2:UK_statutory	0.0275
impugned	No_Violation	-0.193	T9:Russia_enforcement	0.0026
indictment	Neutral	-0.004	T2:UK_statutory	0.0233
individual	No_Violation	-0.179	T0:jury/evidence	0.0030
information	Neutral	-0.048	T0:jury/evidence	0.0212
initiated	Violation	0.162	T3:Turkey_security	0.0222
inter	No_Violation	-0.149	T0:jury/evidence	0.0066
investigating	Violation	0.140	T2:UK_statutory	0.0124
istanbul	Violation	0.130	T2:UK_statutory	0.0359
izmir	Violation	0.131	T4:Turkey_admin	0.0157
january	Neutral	0.037	T1:land_expropriation	0.0193
judge	Violation	0.055	T0:jury/evidence	0.0172
judgment	Violation	0.136	T9:Russia_enforcement	0.0353
july	Violation	0.052	T1:land_expropriation	0.0268
june	Violation	0.117	T1:land_expropriation	0.0321
karacabey	Violation	0.106	T3:Turkey_security	0.0228
kingdom	No_Violation	-0.144	T0:jury/evidence	0.0007
labour	Neutral	0.022	T4:Turkey_admin	0.0185
land	No_Violation	-0.069	T3:Turkey_security	0.0249
law	No_Violation	-0.080	T2:UK_statutory	0.0227
lawyer	No_Violation	-0.162	T6:detention_conditions	0.0171
life	Violation	0.205	T4:Turkey_admin	0.0282
lira	Neutral	0.021	T3:Turkey_security	0.0201
living	No_Violation	-0.158	T0:jury/evidence	0.0027
lodged	Violation	0.162	T4:Turkey_admin	0.0185
management	No_Violation	-0.157	T0:jury/evidence	0.0058
march	Violation	0.103	T1:land_expropriation	0.0309
martial	Violation	0.139	T8:hearing_scheduling	0.0033
may	Neutral	-0.002	T1:land_expropriation	0.0282
meaning	No_Violation	-0.186	T0:jury/evidence	0.0011
measured	No_Violation	-0.159	T6:detention_conditions	0.0003
medical	Violation	0.060	T6:detention_conditions	0.0207
member	No_Violation	-0.107	T8:hearing_scheduling	0.0167
membership	Violation	0.100	T2:UK_statutory	0.0209
might	No_Violation	-0.170	T0:jury/evidence	0.0021
military	Neutral	0.044	T4:Turkey_admin	0.0334
ministry	Violation	0.102	T4:Turkey_admin	0.0231
moscow	Violation	0.181	T5:Russia_pension	0.0003
