word	SVM_direction	SVM_coef	Dominant_topic	Country_weight
act	No_Violation	-0.160	T8:hearing_scheduling	0.0356
administrative	Violation	0.177	T4:Turkey_admin	0.0047
also	Neutral	0.000	T0:jury/evidence	0.0259
although	Neutral	-0.003	T0:jury/evidence	0.0202
appeal	Violation	0.064	T1:land_expropriation	0.0423
appendix	Violation	0.126	T7:pretrial_detention	0.0002
application	Neutral	-0.018	T0:jury/evidence	0.0347
applied	Neutral	0.010	T0:jury/evidence	0.0203
april	Neutral	-0.002	T1:land_expropriation	0.0190
army	Violation	0.157	T8:hearing_scheduling	0.0173
august	Neutral	-0.034	T1:land_expropriation	0.0178
authority	Violation	0.128	T5:Russia_pension	0.0179
born	Violation	0.144	T4:Turkey_admin	0.0120
brought	Violation	0.134	T3:Turkey_security	0.0076
carried	No_Violation	-0.143	T6:detention_conditions	0.0083
cassation	Violation	0.210	T3:Turkey_security	0.0012
charge	Violation	0.153	T8:hearing_scheduling	0.0194
charging	Violation	0.122	T2:UK_statutory	0.0022
civil	Violation	0.194	T3:Turkey_security	0.0079
company	No_Violation	-0.166	T1:land_expropriation	0.0090
compensation	Violation	0.240	T3:Turkey_security	0.0042
concerning	No_Violation	-0.157	T6:detention_conditions	0.0097
considered	No_Violation	-0.063	T0:jury/evidence	0.0223
contrary	Neutral	0.040	T8:hearing_scheduling	0.0187
conviction	Neutral	-0.029	T8:hearing_scheduling	0.0206
could	No_Violation	-0.101	T0:jury/evidence	0.0299
counsel	Neutral	-0.006	T0:jury/evidence	0.0225
criminal	Violation	0.114	T2:UK_statutory	0.0178
crown	Neutral	0.010	T0:jury/evidence	0.0228
dated	Violation	0.128	T8:hearing_scheduling	0.0171
day	Violation	0.051	T6:detention_conditions	0.0178
december	Violation	0.056	T1:land_expropriation	0.0188
decision	Neutral	-0.041	T4:Turkey_admin	0.0209
defence	Neutral	-0.032	T0:jury/evidence	0.0223
defendant	No_Violation	-0.092	T0:jury/evidence	0.0191
delay	Violation	0.191	T1:land_expropriation	0.0152
detention	Violation	0.226	T7:pretrial_detention	0.0058
device	No_Violation	-0.156	T0:jury/evidence	0.0052
directorate	Violation	0.141	T3:Turkey_security	0.0007
disclosure	No_Violation	-0.151	T0:jury/evidence	0.0109
discovered	No_Violation	-0.179	T6:detention_conditions	0.0049
district	Violation	0.123	T1:land_expropriation	0.0061
duplicate	No_Violation	-0.166	T9:Russia_enforcement	0.0004
entered	No_Violation	-0.160	T6:detention_conditions	0.0048
establishment	No_Violation	-0.162	T6:detention_conditions	0.0018
evidence	Neutral	-0.009	T0:jury/evidence	0.0388
fact	No_Violation	-0.140	T0:jury/evidence	0.0207
factual	No_Violation	-0.146	T0:jury/evidence	0.0070
february	Violation	0.188	T1:land_expropriation	0.0208
first	Violation	0.101	T0:jury/evidence	0.0274
following	No_Violation	-0.064	T1:land_expropriation	0.0219
found	Neutral	0.013	T0:jury/evidence	0.0256
garrison	No_Violation	-0.160	T9:Russia_enforcement	0.0006
gave	Neutral	-0.042	T0:jury/evidence	0.0182
gbp	Neutral	0.003	T0:jury/evidence	0.0232
give	No_Violation	-0.076	T0:jury/evidence	0.0200
given	Neutral	-0.029	T0:jury/evidence	0.0254
government	No_Violation	-0.237	T6:detention_conditions	0.0132
granted	Violation	0.080	T9:Russia_enforcement	0.0193
ground	Neutral	0.030	T7:pretrial_detention	0.0232
guilty	Violation	0.073	T8:hearing_scheduling	0.0194
heard	Violation	0.056	T0:jury/evidence	0.0200
hearing	Violation	0.133	T1:land_expropriation	0.0253
high	Violation	0.056	T0:jury/evidence	0.0288
house	No_Violation	-0.212	T0:jury/evidence	0.0221
impugned	No_Violation	-0.193	T9:Russia_enforcement	0.0016
individual	No_Violation	-0.179	T0:jury/evidence	0.0088
informed	Violation	0.084	T0:jury/evidence	0.0196
initiated	Violation	0.162	T3:Turkey_security	0.0009
inter	No_Violation	-0.149	T0:jury/evidence	0.0202
interest	No_Violation	-0.057	T0:jury/evidence	0.0184
interfere	No_Violation	-0.160	T6:detention_conditions	0.0022
investigating	Violation	0.140	T2:UK_statutory	0.0031
january	Neutral	0.037	T1:land_expropriation	0.0226
judge	Violation	0.055	T0:jury/evidence	0.0369
judgment	Violation	0.136	T9:Russia_enforcement	0.0142
july	Violation	0.052	T1:land_expropriation	0.0209
june	Violation	0.117	T1:land_expropriation	0.0220
jury	No_Violation	-0.124	T0:jury/evidence	0.0253
justice	Violation	0.090	T0:jury/evidence	0.0228
kingdom	No_Violation	-0.144	T0:jury/evidence	0.0156
lawyer	No_Violation	-0.162	T6:detention_conditions	0.0044
leave	Neutral	0.003	T0:jury/evidence	0.0302
legal	Neutral	0.029	T8:hearing_scheduling	0.0255
legislative	No_Violation	-0.307	T4:Turkey_admin	0.0060
letter	Violation	0.080	T8:hearing_scheduling	0.0199
life	Violation	0.205	T4:Turkey_admin	0.0115
living	No_Violation	-0.158	T0:jury/evidence	0.0062
lodged	Violation	0.162	T4:Turkey_admin	0.0101
lord	No_Violation	-0.109	T0:jury/evidence	0.0239
made	No_Violation	-0.107	T0:jury/evidence	0.0324
make	Neutral	-0.031	T0:jury/evidence	0.0183
management	No_Violation	-0.157	T0:jury/evidence	0.0037
march	Violation	0.103	T1:land_expropriation	0.0214
martial	Violation	0.139	T8:hearing_scheduling	0.0078
matter	No_Violation	-0.112	T0:jury/evidence	0.0233
may	Neutral	-0.002	T1:land_expropriation	0.0257
meaning	No_Violation	-0.186	T0:jury/evidence	0.0076
measured	No_Violation	-0.159	T6:detention_conditions	0.0013
member	No_Violation	-0.107	T8:hearing_scheduling	0.0176
might	No_Violation	-0.170	T0:jury/evidence	0.0170
must	No_Violation	-0.150	T0:jury/evidence	0.0164
name	No_Violation	-0.148	T0:jury/evidence	0.0089
november	Neutral	0.042	T1:land_expropriation	0.0206
october	Violation	0.066	T1:land_expropriation	0.0205
offence	Neutral	-0.000	T8:hearing_scheduling	0.0209
officer	Violation	0.115	T8:hearing_scheduling	0.0237
official	No_Violation	-0.206	T0:jury/evidence	0.0080
one	No_Violation	-0.054	T0:jury/evidence	0.0246
order	Violation	0.137	T0:jury/evidence	0.0300
owner	No_Violation	-0.175	T0:jury/evidence	0.0038
paragraph	Neutral	-0.006	T0:jury/evidence	0.0327
partially	Violation	0.124	T3:Turkey_security	0.0001
pecuniary	Violation	0.138	T9:Russia_enforcement	0.0007
pension	Violation	0.210	T5:Russia_pension	0.0016
place	Neutral	-0.002	T1:land_expropriation	0.0204
planning	No_Violation	-0.156	T0:jury/evidence	0.0058
police	Violation	0.057	T2:UK_statutory	0.0236
premise	No_Violation	-0.179	T6:detention_conditions	0.0035
prison	Violation	0.074	T6:detention_conditions	0.0181
proceeding	Violation	0.060	T1:land_expropriation	0.0234
prosecution	No_Violation	-0.070	T0:jury/evidence	0.0221
provision	No_Violation	-0.181	T0:jury/evidence	0.0111
public	No_Violation	-0.070	T2:UK_statutory	0.0193
quashed	Violation	0.133	T1:land_expropriation	0.0051
question	No_Violation	-0.077	T0:jury/evidence	0.0217
reason	Neutral	-0.023	T0:jury/evidence	0.0211
refused	Neutral	0.035	T0:jury/evidence	0.0221
relevant	No_Violation	-0.094	T0:jury/evidence	0.0182
remove	No_Violation	-0.148	T0:jury/evidence	0.0050
representative	Violation	0.125	T1:land_expropriation	0.0098
requested	Violation	0.150	T3:Turkey_security	0.0093
respect	Neutral	-0.028	T0:jury/evidence	0.0200
review	Neutral	-0.002	T1:land_expropriation	0.0186
rule	Neutral	-0.047	T0:jury/evidence	0.0179
said	No_Violation	-0.159	T0:jury/evidence	0.0172
say	No_Violation	-0.162	T0:jury/evidence	0.0146
second	Violation	0.167	T0:jury/evidence	0.0246
secretary	Neutral	-0.039	T0:jury/evidence	0.0204
section	No_Violation	-0.156	T8:hearing_scheduling	0.0323
security	Violation	0.206	T2:UK_statutory	0.0062
see	No_Violation	-0.051	T0:jury/evidence	0.0177
sentence	Violation	0.071	T8:hearing_scheduling	0.0224
sentenced	Violation	0.066	T8:hearing_scheduling	0.0176
september	Neutral	0.003	T1:land_expropriation	0.0200
service	Neutral	0.008	T8:hearing_scheduling	0.0179
since	Neutral	-0.034	T0:jury/evidence	0.0184
solicitor	Violation	0.066	T0:jury/evidence	0.0280
state	Neutral	0.006	T2:UK_statutory	0.0191
stated	Neutral	-0.037	T0:jury/evidence	0.0180
submission	No_Violation	-0.181	T0:jury/evidence	0.0097
taken	Neutral	-0.040	T2:UK_statutory	0.0182
three	No_Violation	-0.052	T6:detention_conditions	0.0215
time	No_Violation	-0.075	T0:jury/evidence	0.0290
took	Neutral	0.024	T0:jury/evidence	0.0203
total	Violation	0.157	T7:pretrial_detention	0.0063
town	Violation	0.160	T5:Russia_pension	0.0012
transaction	No_Violation	-0.174	T1:land_expropriation	0.0014
