word	SVM_direction	SVM_coef	Dominant_topic	Country_weight
according	Neutral	0.042	T6:detention_conditions	0.0260
act	No_Violation	-0.160	T8:UK_statutory	0.0072
adjourned	Violation	0.086	T1:hearing_scheduling	0.0218
administrative	Violation	0.177	T4:Turkey_admin	0.0079
also	Neutral	0.000	T0:GBR_evaluative	0.0230
appeal	Violation	0.064	T1:hearing_scheduling	0.0345
appealed	Violation	0.054	T5:Russia_pension	0.0176
appear	Violation	0.076	T1:hearing_scheduling	0.0184
appendix	Violation	0.126	T7:pretrial_detention	0.0046
april	Neutral	-0.002	T1:hearing_scheduling	0.0315
army	Violation	0.157	T8:UK_statutory	0.0004
article	Neutral	0.012	T2:Turkey_security	0.0165
august	Neutral	-0.034	T1:hearing_scheduling	0.0317
authority	Violation	0.128	T5:Russia_pension	0.0300
born	Violation	0.144	T4:Turkey_admin	0.0259
brought	Violation	0.134	T3:land_expropriation	0.0178
carried	No_Violation	-0.143	T6:detention_conditions	0.0076
cassation	Violation	0.210	T3:land_expropriation	0.0007
cell	No_Violation	-0.058	T6:detention_conditions	0.0185
charge	Violation	0.153	T8:UK_statutory	0.0176
charging	Violation	0.122	T2:Turkey_security	0.0012
city	No_Violation	-0.099	T1:hearing_scheduling	0.0237
civil	Violation	0.194	T3:land_expropriation	0.0116
claim	No_Violation	-0.059	T9:Russia_enforcement	0.0266
code	Neutral	0.020	T2:Turkey_security	0.0165
company	No_Violation	-0.166	T1:hearing_scheduling	0.0165
compensation	Violation	0.240	T3:land_expropriation	0.0197
complaint	No_Violation	-0.064	T6:detention_conditions	0.0167
concerning	No_Violation	-0.157	T6:detention_conditions	0.0162
copy	Neutral	-0.009	T6:detention_conditions	0.0177
counsel	Neutral	-0.006	T0:GBR_evaluative	0.0176
court	Violation	0.087	T5:Russia_pension	0.0179
criminal	Violation	0.114	T2:Turkey_security	0.0329
damage	Neutral	0.020	T9:Russia_enforcement	0.0176
date	Violation	0.109	T7:pretrial_detention	0.0257
dated	Violation	0.128	T8:UK_statutory	0.0049
december	Violation	0.056	T1:hearing_scheduling	0.0346
decision	Neutral	-0.041	T4:Turkey_admin	0.0291
delay	Violation	0.191	T1:hearing_scheduling	0.0071
detention	Violation	0.226	T7:pretrial_detention	0.0332
device	No_Violation	-0.156	T0:GBR_evaluative	0.0018
directorate	Violation	0.141	T3:land_expropriation	0.0008
discovered	No_Violation	-0.179	T6:detention_conditions	0.0050
dismissed	Violation	0.107	T4:Turkey_admin	0.0213
district	Violation	0.123	T1:hearing_scheduling	0.0601
document	No_Violation	-0.075	T4:Turkey_admin	0.0168
due	Neutral	0.042	T1:hearing_scheduling	0.0200
duplicate	No_Violation	-0.166	T9:Russia_enforcement	0.0031
enforcement	No_Violation	-0.132	T9:Russia_enforcement	0.0190
entered	No_Violation	-0.160	T6:detention_conditions	0.0057
establishment	No_Violation	-0.162	T6:detention_conditions	0.0038
examination	Violation	0.064	T1:hearing_scheduling	0.0286
examined	Violation	0.122	T6:detention_conditions	0.0201
extended	Neutral	-0.028	T1:hearing_scheduling	0.0176
factual	No_Violation	-0.146	T0:GBR_evaluative	0.0015
failure	Neutral	-0.010	T1:hearing_scheduling	0.0180
february	Violation	0.188	T1:hearing_scheduling	0.0313
file	Neutral	-0.017	T1:hearing_scheduling	0.0165
first	Violation	0.101	T0:GBR_evaluative	0.0209
following	No_Violation	-0.064	T1:hearing_scheduling	0.0207
found	Neutral	0.013	T0:GBR_evaluative	0.0203
garrison	No_Violation	-0.160	T9:Russia_enforcement	0.0073
government	No_Violation	-0.237	T6:detention_conditions	0.0131
granted	Violation	0.080	T9:Russia_enforcement	0.0191
hearing	Violation	0.133	T1:hearing_scheduling	0.0357
held	Neutral	0.008	T5:Russia_pension	0.0239
house	No_Violation	-0.212	T0:GBR_evaluative	0.0043
impugned	No_Violation	-0.193	T9:Russia_enforcement	0.0035
individual	No_Violation	-0.179	T0:GBR_evaluative	0.0081
initiated	Violation	0.162	T3:land_expropriation	0.0094
inter	No_Violation	-0.149	T0:GBR_evaluative	0.0046
interfere	No_Violation	-0.160	T6:detention_conditions	0.0047
investigating	Violation	0.140	T2:Turkey_security	0.0072
investigation	Neutral	0.012	T6:detention_conditions	0.0190
investigator	No_Violation	-0.065	T6:detention_conditions	0.0209
