word	SVM_direction	SVM_coef	Dominant_topic	Topic_weight
according	Violation	0.054	T6:detention_conditions	0.159
act	No_Violation	-0.182	T2:UK_statutory	0.261
adjourned	Violation	0.108	T8:hearing_scheduling	0.362
administrative	Violation	0.136	T4:Turkey_admin	0.883
aid	Violation	0.141	T2:UK_statutory	0.132
amount	Neutral	0.050	T1:land_expropriation	0.269
ankara	Violation	0.081	T4:Turkey_admin	0.296
annulment	Violation	0.051	T4:Turkey_admin	0.323
appeal	Violation	0.094	T8:hearing_scheduling	0.374
appealed	Neutral	0.026	T5:Russia_pension	0.225
appendix	Violation	0.126	T7:pretrial_detention	0.482
application	Neutral	0.002	T2:UK_statutory	0.223
april	Neutral	0.001	T8:hearing_scheduling	0.262
army	Violation	0.152	T2:UK_statutory	0.127
assize	Violation	0.127	T3:Turkey_security	0.411
authority	Violation	0.123	T5:Russia_pension	0.343
award	Violation	0.106	T9:Russia_enforcement	0.193
awarded	Violation	0.107	T1:land_expropriation	0.395
based	Neutral	0.008	T5:Russia_pension	0.263
born	Violation	0.150	T4:Turkey_admin	0.176
brought	Violation	0.151	T1:land_expropriation	0.208
bursa	Violation	0.075	T1:land_expropriation	0.555
carried	No_Violation	-0.165	T6:detention_conditions	0.075
cassation	Violation	0.214	T1:land_expropriation	0.416
cell	No_Violation	-0.060	T6:detention_conditions	0.310
charge	Violation	0.146	T8:hearing_scheduling	0.133
child	No_Violation	-0.129	T2:UK_statutory	0.173
civil	Violation	0.158	T1:land_expropriation	0.515
claim	No_Violation	-0.051	T9:Russia_enforcement	0.229
compensation	Violation	0.247	T1:land_expropriation	0.418
concerning	No_Violation	-0.212	T6:detention_conditions	0.070
condition	Violation	0.090	T6:detention_conditions	0.175
continued	Violation	0.067	T7:pretrial_detention	0.264
counsel	Neutral	0.019	T0:jury/evidence	0.243
court	Neutral	0.046	T5:Russia_pension	0.290
criminal	Violation	0.113	T3:Turkey_security	0.237
crown	Neutral	0.030	T0:jury/evidence	0.238
date	Violation	0.121	T7:pretrial_detention	0.511
dated	Violation	0.139	T2:UK_statutory	0.134
de	Violation	0.079	T1:land_expropriation	0.418
december	Violation	0.060	T8:hearing_scheduling	0.310
decision	No_Violation	-0.053	T8:hearing_scheduling	0.221
defence	Neutral	-0.025	T0:jury/evidence	0.295
defendant	No_Violation	-0.149	T0:jury/evidence	0.161
delay	Violation	0.221	T8:hearing_scheduling	0.092
detail	Violation	0.097	T7:pretrial_detention	0.287
detained	Violation	0.057	T7:pretrial_detention	0.245
detainee	Neutral	0.028	T6:detention_conditions	0.136
detention	Violation	0.224	T7:pretrial_detention	0.281
device	No_Violation	-0.159	T0:jury/evidence	0.078
directorate	Violation	0.143	T1:land_expropriation	0.231
discovered	No_Violation	-0.172	T6:detention_conditions	0.048
dismissed	Violation	0.113	T4:Turkey_admin	0.291
dispute	Neutral	0.038	T5:Russia_pension	0.258
district	Violation	0.152	T8:hearing_scheduling	0.427
diyarbakır	Neutral	-0.015	T3:Turkey_security	0.339
domestic	No_Violation	-0.120	T7:pretrial_detention	0.289
duplicate	No_Violation	-0.170	T9:Russia_enforcement	0.041
elektrostal	Neutral	0.042	T5:Russia_pension	0.236
enforcement	No_Violation	-0.137	T9:Russia_enforcement	0.275
entered	No_Violation	-0.188	T0:jury/evidence	0.038
equipped	No_Violation	-0.147	T6:detention_conditions	0.138
establishment	No_Violation	-0.161	T6:detention_conditions	0.031
evidence	Neutral	-0.003	T0:jury/evidence	0.369
examination	Neutral	0.046	T8:hearing_scheduling	0.262
execution	Neutral	0.020	T1:land_expropriation	0.543
expropriation	Violation	0.072	T1:land_expropriation	0.473
facto	Violation	0.067	T1:land_expropriation	0.431
february	Violation	0.217	T8:hearing_scheduling	0.258
filed	Neutral	0.013	T3:Turkey_security	0.239
garrison	No_Violation	-0.163	T9:Russia_enforcement	0.098
give	No_Violation	-0.082	T0:jury/evidence	0.210
government	No_Violation	-0.246	T6:detention_conditions	0.131
hazardous	Violation	0.101	T5:Russia_pension	0.483
hearing	Violation	0.156	T8:hearing_scheduling	0.459
high	Neutral	0.044	T2:UK_statutory	0.234
house	No_Violation	-0.195	T2:UK_statutory	0.138
illegal	Violation	0.140	T3:Turkey_security	0.310
impugned	No_Violation	-0.192	T9:Russia_enforcement	0.033
indictment	Neutral	-0.012	T3:Turkey_security	0.236
individual	No_Violation	-0.162	T6:detention_conditions	0.068
initiated	Violation	0.170	T1:land_expropriation	0.350
inmate	No_Violation	-0.125	T6:detention_conditions	0.177
interfere	No_Violation	-0.160	T8:hearing_scheduling	0.041
interim	No_Violation	-0.153	T2:UK_statutory	0.058
interview	Violation	0.057	T0:jury/evidence	0.194
investigating	Violation	0.143	T3:Turkey_security	0.149
investigator	No_Violation	-0.069	T6:detention_conditions	0.168
istanbul	Violation	0.113	T3:Turkey_security	0.336
judge	Violation	0.078	T0:jury/evidence	0.268
judgment	Violation	0.152	T9:Russia_enforcement	0.301
judicial	Violation	0.063	T7:pretrial_detention	0.247
jury	No_Violation	-0.114	T0:jury/evidence	0.364
karacabey	Violation	0.101	T1:land_expropriation	0.703
land	No_Violation	-0.070	T1:land_expropriation	0.493
lawyer	No_Violation	-0.160	T6:detention_conditions	0.105
leave	Neutral	0.048	T2:UK_statutory	0.189
legal	Violation	0.060	T2:UK_statutory	0.201
legislative	No_Violation	-0.300	T4:Turkey_admin	0.044
life	Violation	0.223	T4:Turkey_admin	0.185
living	No_Violation	-0.149	T2:UK_statutory	0.062
lodged	Violation	0.178	T4:Turkey_admin	0.178
made	No_Violation	-0.097	T0:jury/evidence	0.185
march	Violation	0.098	T8:hearing_scheduling	0.249
martial	Violation	0.139	T2:UK_statutory	0.058
meaning	No_Violation	-0.180	T2:UK_statutory	0.048
measured	No_Violation	-0.159	T6:detention_conditions	0.088
medical	Neutral	0.027	T6:detention_conditions	0.211
membership	Violation	0.104	T3:Turkey_security	0.237
might	No_Violation	-0.187	T0:jury/evidence	0.151
military	Neutral	0.049	T4:Turkey_admin	0.398
ministry	Violation	0.118	T4:Turkey_admin	0.277
moscow	Violation	0.177	T5:Russia_pension	0.325
name	No_Violation	-0.155	T0:jury/evidence	0.099
national	Neutral	-0.020	T7:pretrial_detention	0.259
november	Neutral	0.027	T8:hearing_scheduling	0.258
obtain	Violation	0.098	T1:land_expropriation	0.376
october	Violation	0.066	T8:hearing_scheduling	0.244
officer	Violation	0.122	T0:jury/evidence	0.156
official	No_Violation	-0.207	T2:UK_statutory	0.063
order	Violation	0.146	T2:UK_statutory	0.196
owner	No_Violation	-0.177	T2:UK_statutory	0.027
paragraph	Neutral	-0.020	T2:UK_statutory	0.254
partially	Violation	0.135	T1:land_expropriation	0.083
payment	Violation	0.131	T9:Russia_enforcement	0.217
pecuniary	Violation	0.147	T9:Russia_enforcement	0.131
pending	Violation	0.089	T7:pretrial_detention	0.266
pension	Violation	0.209	T5:Russia_pension	0.959
pensioner	Violation	0.069	T5:Russia_pension	0.300
period	Neutral	0.027	T7:pretrial_detention	0.346
physical	No_Violation	-0.151	T6:detention_conditions	0.094
planning	No_Violation	-0.164	T2:UK_statutory	0.060
plus	Violation	0.100	T1:land_expropriation	0.429
police	Violation	0.076	T0:jury/evidence	0.304
premise	No_Violation	-0.176	T6:detention_conditions	0.042
prison	Violation	0.086	T6:detention_conditions	0.190
privileged	Violation	0.097	T5:Russia_pension	0.346
prosecution	Neutral	-0.044	T0:jury/evidence	0.294
prosecutor	Neutral	0.035	T3:Turkey_security	0.344
provided	No_Violation	-0.090	T6:detention_conditions	0.137
provision	No_Violation	-0.198	T2:UK_statutory	0.114
public	No_Violation	-0.084	T3:Turkey_security	0.324
quashed	Violation	0.139	T8:hearing_scheduling	0.177
question	No_Violation	-0.078	T0:jury/evidence	0.206
recalculate	Violation	0.089	T5:Russia_pension	0.366
rectification	Violation	0.119	T4:Turkey_admin	0.425
regional	Violation	0.075	T8:hearing_scheduling	0.349
release	Neutral	0.047	T7:pretrial_detention	0.286
released	Violation	0.106	T7:pretrial_detention	0.252
remand	No_Violation	-0.066	T6:detention_conditions	0.206
remove	No_Violation	-0.147	T2:UK_statutory	0.037
representative	Violation	0.131	T8:hearing_scheduling	0.126
request	Neutral	-0.047	T4:Turkey_admin	0.224
requested	Violation	0.179	T1:land_expropriation	0.224
retirement	Neutral	0.044	T5:Russia_pension	0.216
rise	No_Violation	-0.150	T0:jury/evidence	0.035
rouble	Neutral	-0.031	T9:Russia_enforcement	0.195
rub	Violation	0.133	T9:Russia_enforcement	0.302
russian	No_Violation	-0.098	T9:Russia_enforcement	0.232
said	No_Violation	-0.170	T0:jury/evidence	0.191
say	No_Violation	-0.184	T0:jury/evidence	0.150
scheduled	Neutral	0.011	T8:hearing_scheduling	0.339
scope	Neutral	-0.045	T5:Russia_pension	0.276
second	Violation	0.166	T0:jury/evidence	0.159
secretary	Neutral	-0.015	T2:UK_statutory	0.185
section	No_Violation	-0.145	T2:UK_statutory	0.253
security	Violation	0.213	T3:Turkey_security	0.556
september	Neutral	0.004	T8:hearing_scheduling	0.252
set	Violation	0.128	T7:pretrial_detention	0.202
solicitor	Violation	0.084	T2:UK_statutory	0.187
specific	No_Violation	-0.155	T2:UK_statutory	0.045
square	Neutral	0.023	T6:detention_conditions	0.140
st	No_Violation	-0.187	T8:hearing_scheduling	0.067
state	Neutral	0.026	T3:Turkey_security	0.407
statement	No_Violation	-0.061	T0:jury/evidence	0.202
submission	No_Violation	-0.209	T0:jury/evidence	0.078
supreme	Violation	0.089	T4:Turkey_admin	0.661
suspicion	Violation	0.080	T3:Turkey_security	0.203
terrorist	No_Violation	-0.156	T0:jury/evidence	0.065
time	No_Violation	-0.059	T2:UK_statutory	0.173
total	Violation	0.174	T7:pretrial_detention	0.511
town	Violation	0.166	T5:Russia_pension	0.363
transaction	No_Violation	-0.170	T8:hearing_scheduling	0.035
trial	No_Violation	-0.114	T0:jury/evidence	0.349
try	Violation	0.123	T1:land_expropriation	0.464
turkish	Violation	0.061	T7:pretrial_detention	0.288
upper	No_Violation	-0.159	T6:detention_conditions	0.038
various	Neutral	0.044	T7:pretrial_detention	0.263
witness	Neutral	0.010	T0:jury/evidence	0.228
would	No_Violation	-0.117	T2:UK_statutory	0.233
writ	No_Violation	-0.099	T9:Russia_enforcement	0.246
written	Violation	0.144	T0:jury/evidence	0.085
